Solution,Mass,Volume,N1,N2,N3
Background,0,100,154,135,135
Source,0,100,3200,3222,3173
Salt_Solution,118.2096,100,2123,2062,2030
Sugar_Solution,108.7488,80,2096,2155,2287 
Water,98.7284,100,2395,2412,2363 
Ethanol,56.5878,73,2563,2585,2634
CocaCola_Solution,104.3418,102,2356,2415,2354 
