Solution,Mass,Volume,N1,N2,N3,N4
Background,0,100,12,18,9,10
Source,0,100,5445,5873,5772,5842
Na2SO4_Solution,96.5657,75,3859,3819,3736,3810
Salt_Solution,118.2096,100,3777,3764,3600,3638
Sugar_Solution,108.7488,80,4068,3887,3852,3921 
Water,98.4848,100,4066,4171,4166,4237 
Ethanol,56.5878,73,4265,4392,4351,4452
CocaCola_Solution,104.3418,102,4317,4191,4211,4218 
Sunlight_Solution,98.9948,100,4247,4176,4155,4276
Olong_Solution,101.8173,100,4312,4180,4212,4176
